channel,onset,duration,peak_onset,type,frequency,amplitude,phase_angle,lag,sw_wind_start,sw_wind_end,sw_neg_peak,overlap,cluster_size,i_within_cluster,NREM2,NREM3,NREM23
C4,6273.524,0.72,6274.06,sp_unc,14.3636767572526,16.4660816735635,NaN,NaN,NaN,NaN,NaN,1,9,3,125,,125
Pz,6276.596,1.14,6277.252,sp_unc,14.2190904139434,18.2490433654086,NaN,NaN,NaN,NaN,NaN,0,9,4,126,,126
C4,6279.788,0.632,6280.2,sp_unc,13.6640006879945,12.8872504103777,NaN,NaN,NaN,NaN,NaN,1,9,5,127,,127
Fz,6283.324,0.548,6283.708,sp_unc,12.390097593967,28.4422582256857,NaN,NaN,NaN,NaN,NaN,0,9,6,128,,128
Pz,6283.9,0.984,6284.088,sp_unc,13.5121619919898,19.7093758813879,NaN,NaN,NaN,NaN,NaN,1,9,7,129,,129
Pz,6286.296,0.756,6286.508,sp_unc,13.7760713703764,17.7994494666978,NaN,NaN,NaN,NaN,NaN,0,9,8,130,,130
C4,6291.368,0.708,6291.54,sp_unc,13.7575502337158,13.4541026762312,NaN,NaN,NaN,NaN,NaN,1,9,9,131,,131
Pz,6300.904,0.604,6301.352,sp_c_down,11.7628402775714,25.6436412117583,-1.4338968810577,-0.732,6300.084,6304.084,6302.084,1,5,1,1,,132
Pz,6302.416,0.568,6302.556,sp_c_up,12.6246560457087,15.0751407329721,-1.15740225653079,0.472,6300.084,6304.084,6302.084,0,5,2,2,,133
Cz,6303.628,0.632,6303.752,sp_c_down,13.2770112297976,16.5824708455148,2.67424949250586,-0.04,6301.792,6305.792,6303.792,0,5,3,3,,134
Fz,6304.32,0.552,6304.46,sp_c_up,12.225564810337,25.2923605736216,0.913285443690507,0.668,6301.792,6305.792,6303.792,0,5,4,4,,135
Fz,6310.212,0.612,6310.34,sp_c_up,12.6670843776107,18.1135860813085,-3.11986342946494,0.104,6308.236,6312.236,6310.236,0,5,5,5,,136
C4,6331.244,0.556,6331.644,sp_unc,14.0115206001429,10.6714406250465,NaN,NaN,NaN,NaN,NaN,0,1,1,6,,137
Pz,6337.36,0.592,6337.564,sp_unc,14.2769607843137,17.644179968954,NaN,NaN,NaN,NaN,NaN,1,1,1,7,,138
C3,6353.416,0.556,6353.716,sp_c_up,11.8368374050192,17.0395862719789,-1.62355103554817,0.296,6351.42,6355.42,6353.42,0,2,1,8,,139
Cz,6354.348,0.528,6354.472,sp_c_up,12.136746825742,11.7132481037212,0.775330122165282,1.052,6351.42,6355.42,6353.42,0,2,2,9,,140
Pz,6365.324,0.58,6365.708,sp_unc,14.5152505446623,16.8865503614792,NaN,NaN,NaN,NaN,NaN,1,3,1,10,,141
Cz,6366.764,0.668,6367.304,sp_unc,13.4365862573099,12.4465187544913,NaN,NaN,NaN,NaN,NaN,0,3,2,11,,142
Fz,6369.508,0.832,6370.116,sp_unc,12.6134356968712,21.0239040791693,NaN,NaN,NaN,NaN,NaN,1,3,3,12,,143
Cz,6383.096,0.552,6383.512,sp_c_up,13.2979404869969,14.2258414976157,1.26370234346075,1.048,6380.464,6384.464,6382.464,0,1,1,13,,144
Pz,6401.644,1.164,6402.288,sp_unc,13.2949923390409,33.3397642898385,NaN,NaN,NaN,NaN,NaN,1,4,1,14,,145
Pz,6406,0.728,6406.3,sp_unc,14.2583873217903,12.3052473870889,NaN,NaN,NaN,NaN,NaN,0,4,2,15,,146
Cz,6410.884,0.492,6411.02,sp_unc,12.3143621570395,15.9483798195335,NaN,NaN,NaN,NaN,NaN,0,4,3,16,,147
Fz,6414.14,0.716,6414.32,sp_unc,13.0563892978477,19.1670256546043,NaN,NaN,NaN,NaN,NaN,0,4,4,17,,148
Pz,6425.368,0.584,6425.516,sp_unc,14.3015320163153,13.1112374953647,NaN,NaN,NaN,NaN,NaN,0,3,1,18,,149
Fz,6428.244,0.692,6428.408,sp_unc,13.1519473818235,18.953708780843,NaN,NaN,NaN,NaN,NaN,0,3,2,19,,150
Pz,6432.076,0.732,6432.48,sp_unc,14.7464976295227,16.4463940592377,NaN,NaN,NaN,NaN,NaN,1,3,3,20,,151
Pz,6444.332,0.556,6444.748,sp_unc,12.8336149717729,14.1397075220878,NaN,NaN,NaN,NaN,NaN,0,4,1,21,,152
Pz,6445.272,1.124,6446.208,sp_unc,14.1072604177787,22.6554278888085,NaN,NaN,NaN,NaN,NaN,1,4,2,22,,153
Cz,6448.168,0.496,6448.564,sp_unc,13.1611387486704,12.4142001209745,NaN,NaN,NaN,NaN,NaN,0,4,3,23,,154
Pz,6448.664,0.5,6448.816,sp_unc,14.3968223254214,13.6429435643558,NaN,NaN,NaN,NaN,NaN,0,4,4,24,,155
Pz,6466.604,1.06,6466.964,sp_unc,14.0594669885498,11.2737241001915,NaN,NaN,NaN,NaN,NaN,0,3,1,25,,156
Cz,6470.732,0.532,6471.1,sp_unc,12.592431491953,14.8725463119439,NaN,NaN,NaN,NaN,NaN,0,3,2,26,,157
Pz,6473.92,0.752,6474.496,sp_unc,14.3771612984991,12.4049390485683,NaN,NaN,NaN,NaN,NaN,0,3,3,27,,158
Cz,6482.352,0.54,6482.492,sp_c_up,12.7967488164857,10.9262101220066,-1.56664011542477,1.084,6479.408,6483.408,6481.408,1,5,1,28,,159
Fz,6484.684,0.768,6485.168,sp_unc,12.0671869746442,30.0543144126343,NaN,NaN,NaN,NaN,NaN,1,5,2,29,,160
C3,6486.216,0.66,6486.364,sp_unc,13.7330151358789,13.9266569115236,NaN,NaN,NaN,NaN,NaN,1,5,3,30,,161
Fz,6487.568,0.712,6487.736,sp_unc,13.2914827437683,22.4642988393938,NaN,NaN,NaN,NaN,NaN,1,5,4,31,,162
Pz,6489.328,0.54,6489.504,sp_unc,13.6157229423483,14.9727232731189,NaN,NaN,NaN,NaN,NaN,0,5,5,32,,163
C4,6513.072,0.584,6513.496,sp_unc,14.1284584009042,12.7147913901799,NaN,NaN,NaN,NaN,NaN,1,2,1,33,,164
Pz,6514.548,0.604,6514.8,sp_unc,14.0029915474962,14.8908333311505,NaN,NaN,NaN,NaN,NaN,0,2,2,34,,165
Pz,6521.168,0.656,6521.568,sp_unc,13.8917779282766,13.932029774371,NaN,NaN,NaN,NaN,NaN,1,10,1,35,,166
Pz,6524.352,0.992,6524.564,sp_unc,14.0631615331693,17.2444339586726,NaN,NaN,NaN,NaN,NaN,0,10,2,36,,167
Cz,6527.08,0.512,6527.428,sp_c_down,12.8049117283567,11.6349154546945,-1.07568505931948,-0.716,6526.144,6530.144,6528.144,1,10,3,37,,168
Cz,6529.756,1,6530.168,sp_unc,12.7727453288599,16.4334453806226,NaN,NaN,NaN,NaN,NaN,0,10,4,38,,169
C3,6534.088,0.492,6534.32,sp_unc,14.4773777707214,18.2542504117132,NaN,NaN,NaN,NaN,NaN,0,10,5,39,,170
Pz,6536.1,0.524,6536.46,sp_unc,14.3288084464555,15.5817958154039,NaN,NaN,NaN,NaN,NaN,1,10,6,40,,171
Fz,6537.132,0.792,6537.636,sp_c_up,12.7839586175023,24.2083199757171,-0.742394638044252,0.952,6534.684,6538.684,6536.684,0,10,7,41,,172
C4,6538.352,0.636,6538.792,sp_unc,13.5985877951486,15.2882020774037,NaN,NaN,NaN,NaN,NaN,1,10,8,42,,173
C4,6541.276,0.584,6541.624,sp_unc,13.8726104476878,14.5064020836579,NaN,NaN,NaN,NaN,NaN,0,10,9,43,,174
Pz,6544.824,0.552,6545.232,sp_unc,14.1614759939063,10.9625200250454,NaN,NaN,NaN,NaN,NaN,0,10,10,44,,175
Pz,6556.196,0.748,6556.68,sp_unc,14.2464649756486,15.651716604565,NaN,NaN,NaN,NaN,NaN,0,4,1,45,,176
Fz,6558.68,0.576,6558.968,sp_c_up,11.8162140889414,28.7493506686078,-1.39180196362453,0.46,6556.508,6560.508,6558.508,0,4,2,46,,177
Pz,6559.536,0.564,6559.952,sp_unc,14.1941096614084,13.7355193020282,NaN,NaN,NaN,NaN,NaN,0,4,3,47,,178
Pz,6562.572,0.704,6562.86,sp_unc,14.4505718954248,14.2274128905773,NaN,NaN,NaN,NaN,NaN,0,4,4,48,,179
Pz,6577.184,1.156,6577.56,sp_unc,13.424180168135,13.1620308492421,NaN,NaN,NaN,NaN,NaN,1,6,1,49,,180
Pz,6582.66,0.532,6583.02,sp_unc,13.8960554982227,13.6293408932788,NaN,NaN,NaN,NaN,NaN,0,6,2,50,,181
Pz,6583.9,0.62,6584.316,sp_unc,12.7262615572545,16.3020690952491,NaN,NaN,NaN,NaN,NaN,0,6,3,51,,182
C3,6586.672,0.664,6587.12,sp_c_down,12.68372184877,27.479047411983,2.33817460732658,-0.048,6585.168,6589.168,6587.168,0,6,4,52,,183
C4,6587.548,0.5,6587.684,sp_c_up,12.1357907284681,24.0347229918558,-0.446439220754104,0.516,6585.168,6589.168,6587.168,0,6,5,53,,184
C4,6589.74,0.624,6589.948,sp_unc,13.8984204793028,14.931802115523,NaN,NaN,NaN,NaN,NaN,0,6,6,54,,185
C3,6602.456,0.56,6602.88,sp_unc,14.265903729913,12.3714565767203,NaN,NaN,NaN,NaN,NaN,0,1,1,55,,186
Pz,6610.828,0.74,6611.144,sp_unc,13.3690708252112,27.3509086955838,NaN,NaN,NaN,NaN,NaN,1,5,1,56,,187
Pz,6613.98,0.98,6614.384,sp_unc,13.9387684898521,15.2742744895239,NaN,NaN,NaN,NaN,NaN,1,5,2,57,,188
Pz,6617.18,0.776,6617.576,sp_unc,14.2285861713106,15.1186667529149,NaN,NaN,NaN,NaN,NaN,0,5,3,58,,189
C3,6620.636,0.644,6621.156,sp_c_up,11.8550682182588,23.827988258574,0.466311990409663,0.756,6618.4,6622.4,6620.4,1,5,4,59,,190
Pz,6622.512,0.652,6622.996,sp_unc,14.0360283367733,12.6236897939059,NaN,NaN,NaN,NaN,NaN,1,5,5,60,,191
Pz,6644.008,0.616,6644.236,sp_unc,13.911822038757,16.8882737719504,NaN,NaN,NaN,NaN,NaN,0,4,1,61,,192
Pz,6649.608,0.72,6649.88,sp_unc,14.453259373925,21.1459554378137,NaN,NaN,NaN,NaN,NaN,0,4,2,62,,193
Fz,6651.248,0.664,6651.576,sp_c_up,11.7233008537356,28.5186425039592,-0.933739438589438,0.56,6649.016,6653.016,6651.016,1,4,3,63,,194
C4,6653.504,1.856,6654.132,sp_unc,12.9506798828601,18.992134614906,NaN,NaN,NaN,NaN,NaN,1,4,4,64,,195
Pz,6671.136,0.732,6671.484,sp_unc,14.0346099453427,14.9103355348382,NaN,NaN,NaN,NaN,NaN,0,5,1,65,,196
Cz,6674.64,0.548,6674.792,sp_unc,13.4129157735969,13.4666181346931,NaN,NaN,NaN,NaN,NaN,0,5,2,66,,197
Pz,6677.98,1.024,6678.416,sp_unc,13.7283962167863,20.6119738082679,NaN,NaN,NaN,NaN,NaN,1,5,3,67,,198
Cz,6680.772,1.112,6681.548,sp_unc,12.4433861333175,17.2544775485387,NaN,NaN,NaN,NaN,NaN,1,5,4,68,,199
Pz,6682.932,0.98,6683.728,sp_unc,14.2765131605655,13.5779440189524,NaN,NaN,NaN,NaN,NaN,0,5,5,69,,200
Fz,6705.32,0.876,6705.6,sp_unc,12.6045226703121,28.0849418212279,NaN,NaN,NaN,NaN,NaN,1,1,1,70,,201
Pz,6712.244,1.068,6712.692,sp_unc,13.7136368517518,19.6456820570983,NaN,NaN,NaN,NaN,NaN,1,2,1,71,,202
Pz,6715.164,0.968,6715.96,sp_unc,13.9789731682147,14.4823054117271,NaN,NaN,NaN,NaN,NaN,0,2,2,72,,203
Fz,6721.648,0.864,6722.048,sp_unc,12.2315511118991,20.2950114643618,NaN,NaN,NaN,NaN,NaN,0,4,1,73,,204
C4,6724.196,0.648,6724.704,sp_unc,13.7439666107671,17.9989578632195,NaN,NaN,NaN,NaN,NaN,0,4,2,74,,205
C4,6727.928,0.5,6728.076,sp_unc,14.0002400814127,12.9909425888377,NaN,NaN,NaN,NaN,NaN,0,4,3,75,,206
Pz,6733.86,0.656,6734.18,sp_unc,13.8700765393877,12.5262285477363,NaN,NaN,NaN,NaN,NaN,0,4,4,76,,207
Cz,6744.528,0.68,6744.696,sp_unc,13.2463463160731,14.0136259616707,NaN,NaN,NaN,NaN,NaN,1,3,1,77,,208
Pz,6747.58,0.868,6748.172,sp_unc,13.7383900928793,18.0035952504274,NaN,NaN,NaN,NaN,NaN,1,3,2,78,,209
Pz,6751.22,0.76,6751.404,sp_unc,14.0269404160556,15.2064303400037,NaN,NaN,NaN,NaN,NaN,0,3,3,79,,210
Pz,6757.784,1.376,6758.1,sp_unc,14.0430307113099,17.1031054426864,NaN,NaN,NaN,NaN,NaN,1,2,1,80,,211
C4,6760.508,1.152,6761.516,sp_c_up,12.5376394018147,18.448765626351,-0.646716662779916,1.672,6757.844,6761.844,6759.844,1,2,2,81,,212
Pz,6775.872,0.664,6776.012,sp_unc,14.2758406252078,13.5606459518791,NaN,NaN,NaN,NaN,NaN,1,2,1,82,,213
Pz,6777.66,0.532,6778.036,sp_unc,14.3427006430102,16.3852199093928,NaN,NaN,NaN,NaN,NaN,0,2,2,83,,214
C3,6802.96,0.58,6803.148,sp_unc,14.3630368814192,16.2617191933813,NaN,NaN,NaN,NaN,NaN,1,4,1,84,,215
C4,6806.376,0.964,6807.152,sp_unc,13.2311989123135,14.1428482208869,NaN,NaN,NaN,NaN,NaN,0,4,2,85,,216
C4,6810.02,0.548,6810.404,sp_unc,12.4873076961178,17.3034181596798,NaN,NaN,NaN,NaN,NaN,1,4,3,86,,217
Cz,6812.932,0.732,6813.316,sp_c_down,12.2602837844364,14.6804553957764,-2.29142649177204,-0.92,6812.236,6816.236,6814.236,0,4,4,87,,218
Pz,6822.896,0.584,6823.292,sp_unc,14.1250286664373,14.6652169059605,NaN,NaN,NaN,NaN,NaN,0,1,1,88,,219
Pz,6831.536,0.636,6832.02,sp_unc,13.5689714482284,14.4371827647564,NaN,NaN,NaN,NaN,NaN,1,9,1,89,,220
Pz,6835.184,0.816,6835.552,sp_unc,13.5635964912281,15.2501460241162,NaN,NaN,NaN,NaN,NaN,0,9,2,90,,221
Pz,6838.388,0.496,6838.636,sp_unc,14.035714797615,19.0510906361321,NaN,NaN,NaN,NaN,NaN,1,9,3,91,,222
Fz,6840.668,0.512,6840.788,sp_unc,12.7433770376354,19.6399931657991,NaN,NaN,NaN,NaN,NaN,0,9,4,92,,223
Cz,6843.044,0.612,6843.468,sp_unc,12.1967944336365,11.8979956152624,NaN,NaN,NaN,NaN,NaN,1,9,5,93,,224
C3,6848.612,0.864,6849.108,sp_unc,13.662116893541,13.1979802806866,NaN,NaN,NaN,NaN,NaN,0,9,6,94,,225
Pz,6852.572,0.792,6853.176,sp_unc,13.0160299987441,19.8289108414171,NaN,NaN,NaN,NaN,NaN,0,9,7,95,,226
Fz,6857.132,0.504,6857.268,sp_unc,12.424147489937,15.2816652437699,NaN,NaN,NaN,NaN,NaN,0,9,8,96,,227
Pz,6860.384,0.508,6860.66,sp_unc,12.8654970760234,19.355701513293,NaN,NaN,NaN,NaN,NaN,1,9,9,97,,228
C4,6870.344,0.568,6870.7,sp_unc,14.5086982161286,15.5610517426245,NaN,NaN,NaN,NaN,NaN,1,4,1,98,,229
Pz,6871.408,0.564,6871.54,sp_unc,12.9967908656157,12.7107227023658,NaN,NaN,NaN,NaN,NaN,1,4,2,99,,230
Fz,6874.14,0.588,6874.372,sp_unc,12.3399221868901,15.6947274357768,NaN,NaN,NaN,NaN,NaN,0,4,3,100,,231
Fz,6878.192,0.528,6878.4,sp_unc,13.4696422428621,16.1948949181307,NaN,NaN,NaN,NaN,NaN,0,4,4,101,,232
Pz,6901.988,1.012,6902.352,sp_unc,13.8900465719351,18.0756141422541,NaN,NaN,NaN,NaN,NaN,1,1,1,102,,233
Pz,6914.912,1.024,6915.44,sp_unc,14.1036084674286,13.7912811108145,NaN,NaN,NaN,NaN,NaN,1,1,1,103,,234
Pz,6928.064,0.52,6928.356,sp_unc,14.6781629318394,19.5598773686861,NaN,NaN,NaN,NaN,NaN,0,1,1,104,,235
C4,6935.02,0.932,6935.176,sp_unc,12.9604638944419,16.9445626465499,NaN,NaN,NaN,NaN,NaN,1,1,1,105,,236
C4,6945.268,0.492,6945.604,sp_unc,14.1755532622406,14.0684890220688,NaN,NaN,NaN,NaN,NaN,1,2,1,106,,237
Pz,6946.824,0.692,6947.088,sp_unc,13.817307108602,13.587282777386,NaN,NaN,NaN,NaN,NaN,0,2,2,107,,238
Pz,6962.096,1.484,6963.176,sp_unc,13.6224890464034,25.0673563660833,NaN,NaN,NaN,NaN,NaN,1,2,1,108,,239
C4,6964.064,0.648,6964.544,sp_c_up,12.2786423875424,15.9382315255956,-2.21333021351336,0.376,6962.168,6966.168,6964.168,0,2,2,109,,240
Pz,6980.12,0.792,6980.732,sp_unc,14.3606053532524,14.1390341357793,NaN,NaN,NaN,NaN,NaN,0,2,1,110,,241
Cz,6981.836,0.524,6982.012,sp_unc,12.5028604118993,12.4703352064348,NaN,NaN,NaN,NaN,NaN,0,2,2,111,,242
Pz,7000.392,0.688,7000.844,sp_unc,13.8990064550072,13.5492179253356,NaN,NaN,NaN,NaN,NaN,0,1,1,112,,243
Pz,7008.188,0.548,7008.348,sp_unc,14.4286881419234,11.4805097626262,NaN,NaN,NaN,NaN,NaN,0,2,1,113,,244
Pz,7010.124,0.564,7010.512,sp_unc,13.7896589134979,13.3842465809388,NaN,NaN,NaN,NaN,NaN,0,2,2,114,,245
C3,7017.308,0.644,7017.828,sp_unc,13.5047009234316,16.1341627910126,NaN,NaN,NaN,NaN,NaN,1,2,1,115,,246
Pz,7018.808,0.588,7019.132,sp_unc,14.0178878568971,19.4740880855328,NaN,NaN,NaN,NaN,NaN,1,2,2,116,,247
C3,7035.636,0.716,7036.228,sp_unc,14.0634555479112,15.4250172033387,NaN,NaN,NaN,NaN,NaN,1,5,1,117,,248
Pz,7039.412,0.612,7039.612,sp_unc,13.2954936360509,13.602353649405,NaN,NaN,NaN,NaN,NaN,0,5,2,118,,249
Fz,7041.356,1.224,7042.316,sp_unc,12.5096991894671,31.9534319022642,NaN,NaN,NaN,NaN,NaN,1,5,3,119,,250
Cz,7042.624,0.528,7043.016,sp_unc,13.1237444877403,14.9617571313073,NaN,NaN,NaN,NaN,NaN,0,5,4,120,,251
C3,7043.232,0.84,7043.804,sp_unc,13.9490372172261,19.9920147711329,NaN,NaN,NaN,NaN,NaN,1,5,5,121,,252
C3,7057.98,0.68,7058.484,sp_unc,14.5992193173566,15.805164253357,NaN,NaN,NaN,NaN,NaN,0,1,1,122,,253
Pz,7070.948,0.556,7071.088,sp_unc,14.265903729913,11.7920009448097,NaN,NaN,NaN,NaN,NaN,0,4,1,123,,254
Pz,7074.7,0.588,7074.836,sp_unc,14.3858932461874,9.54834970043188,NaN,NaN,NaN,NaN,NaN,0,4,2,124,,255
Pz,7080.292,0.712,7080.808,sp_unc,13.3988373471163,20.3687284457603,NaN,NaN,NaN,NaN,NaN,0,4,3,125,,256
C3,7082.968,0.5,7083.316,sp_c_up,14.1074704735695,15.5270408104125,3.00736577046317,1.78,7079.536,7083.536,7081.536,1,4,4,126,,257
Cz,7106.268,0.672,7106.584,sp_unc,13.4892259335951,25.3145585122,NaN,NaN,NaN,NaN,NaN,1,1,1,127,,258
Pz,7122.64,1.052,7123.276,sp_unc,13.8152718852323,14.6671859108667,NaN,NaN,NaN,NaN,NaN,0,1,1,128,,259
Pz,7130.484,0.544,7130.824,sp_unc,13.8713582599032,12.3003359360007,NaN,NaN,NaN,NaN,NaN,0,1,1,129,,260
Pz,7146.872,0.616,7147.24,sp_unc,14.0762957229676,19.6218290331344,NaN,NaN,NaN,NaN,NaN,0,4,1,130,,261
Pz,7148.196,0.74,7148.432,sp_unc,12.2408370853022,26.5555370320778,NaN,NaN,NaN,NaN,NaN,1,4,2,131,,262
C3,7149.668,0.564,7150.076,sp_c_up,11.9401089860836,19.5041006841916,-2.66275218369505,1.9,7146.176,7150.176,7148.176,1,4,3,132,,263
Pz,7151.596,0.604,7152.012,sp_unc,13.8540591675267,18.72099875215,NaN,NaN,NaN,NaN,NaN,1,4,4,133,,264
Cz,7161.872,0.492,7162.012,sp_unc,14.7007761437908,14.8235479200041,NaN,NaN,NaN,NaN,NaN,0,1,1,134,,265
C3,7169.416,0.784,7170.004,sp_unc,12.7088554720134,15.1868791326573,NaN,NaN,NaN,NaN,NaN,0,2,1,135,,266
Cz,7171.9,0.508,7172.04,sp_unc,12.2595437870037,15.8629968562705,NaN,NaN,NaN,NaN,NaN,0,2,2,136,,267
Pz,7184.372,0.788,7184.612,sp_unc,14.156292999656,13.2217291129283,NaN,NaN,NaN,NaN,NaN,1,1,1,137,,268
Pz,7192.488,1.212,7193.148,sp_unc,13.8794827141383,21.7861527412427,NaN,NaN,NaN,NaN,NaN,1,5,1,138,,269
Cz,7194.304,0.704,7194.756,sp_unc,13.6307529860617,14.3497000405579,NaN,NaN,NaN,NaN,NaN,0,5,2,139,,270
Pz,7196.312,0.72,7196.568,sp_unc,13.9079998471123,18.8730276525493,NaN,NaN,NaN,NaN,NaN,1,5,3,140,,271
Fz,7200.976,0.824,7201.468,sp_unc,11.5240729118775,28.2798886680471,NaN,NaN,NaN,NaN,NaN,0,5,4,141,,272
Fz,7202.076,0.564,7202.184,sp_unc,12.1835574746044,24.8681991242549,NaN,NaN,NaN,NaN,NaN,1,5,5,142,,273
Cz,7222.8,0.5,7222.916,sp_unc,12.2194691273639,14.8229174661139,NaN,NaN,NaN,NaN,NaN,0,1,1,143,,274
Pz,7241.132,0.748,7241.408,sp_unc,14.0699400720584,16.4184216617431,NaN,NaN,NaN,NaN,NaN,0,1,1,144,,275
Pz,7251.028,0.868,7251.724,sp_unc,13.6814295096029,16.1217473819839,NaN,NaN,NaN,NaN,NaN,1,7,1,145,,276
Pz,7255.364,1.516,7256.108,sp_unc,14.1455758597834,17.2958942298982,NaN,NaN,NaN,NaN,NaN,1,7,2,146,,277
Pz,7258.368,0.888,7258.66,sp_unc,14.3421613496657,19.6511664057233,NaN,NaN,NaN,NaN,NaN,0,7,3,147,,278
Fz,7262.412,0.508,7262.556,sp_unc,13.1326580339738,19.0831532269734,NaN,NaN,NaN,NaN,NaN,0,7,4,148,,279
Pz,7265.412,0.968,7266.048,sp_unc,13.453114250086,26.9450294188898,NaN,NaN,NaN,NaN,NaN,0,7,5,149,,280
Cz,7270.056,0.612,7270.416,sp_unc,12.1823155232766,21.4657003831481,NaN,NaN,NaN,NaN,NaN,1,7,6,150,,281
Cz,7274.54,0.568,7274.932,sp_unc,12.8205540962978,17.3362627077334,NaN,NaN,NaN,NaN,NaN,0,7,7,151,,282
Pz,7291.624,0.528,7291.792,sp_unc,14.4702111613876,18.5244235316554,NaN,NaN,NaN,NaN,NaN,0,1,1,152,,283
