channel,onset,duration,peak_onset,type,frequency,amplitude,phase_angle,lag,sw_wind_start,sw_wind_end,sw_neg_peak,overlap,cluster_size,i_within_cluster,NREM2,NREM3,NREM23
Pz,5231.648,1.2,5232.056,sp_unc,13.7102969842908,21.4827660905667,NaN,NaN,NaN,NaN,NaN,1,4,2,86,,86
Cz,5236.276,0.82,5236.756,sp_c_up,13.1746375625714,13.6010296344677,0.161895036694552,0.636,5234.12,5238.12,5236.12,0,4,3,87,,87
Pz,5240.108,0.564,5240.512,sp_unc,13.7201979307242,17.1125341770822,NaN,NaN,NaN,NaN,NaN,0,4,4,88,,88
Pz,5246.928,0.68,5247.44,sp_unc,13.5743806095006,17.7507245290085,NaN,NaN,NaN,NaN,NaN,1,2,1,89,,89
Cz,5249.572,0.584,5249.688,sp_unc,14.1541814094059,16.6511096514061,NaN,NaN,NaN,NaN,NaN,1,2,2,90,,90
Cz,5257.076,0.896,5257.816,sp_unc,13.2221474910839,15.9569940571323,NaN,NaN,NaN,NaN,NaN,1,1,1,91,,91
C4,5266.92,0.52,5267.324,sp_unc,14.0834623323013,13.239491151505,NaN,NaN,NaN,NaN,NaN,1,2,1,92,,92
Cz,5268.66,0.74,5268.868,sp_unc,12.9209268846858,11.8995144236817,NaN,NaN,NaN,NaN,NaN,1,2,2,93,,93
Pz,5274.884,0.568,5275.308,sp_unc,12.752569967959,11.8679732195261,NaN,NaN,NaN,NaN,NaN,1,2,1,94,,94
C4,5276.276,0.52,5276.408,sp_unc,13.5878750091211,14.9827806866406,NaN,NaN,NaN,NaN,NaN,0,2,2,95,,95
Pz,5302.98,0.508,5303.116,sp_unc,14.2606567480793,11.5359760418622,NaN,NaN,NaN,NaN,NaN,0,2,1,96,,96
C4,5307.932,0.524,5308.116,sp_unc,14.1280331295811,14.0745698937313,NaN,NaN,NaN,NaN,NaN,0,2,2,97,,97
Fz,5325.936,0.708,5326.104,sp_unc,12.2943090048353,23.0481370938352,NaN,NaN,NaN,NaN,NaN,1,2,1,98,,98
Fz,5327.512,0.6,5327.98,sp_unc,13.2824621076501,19.1237780556585,NaN,NaN,NaN,NaN,NaN,1,2,2,99,,99
Pz,5338.964,0.872,5339.196,sp_unc,14.1527504143603,23.5106197468422,NaN,NaN,NaN,NaN,NaN,0,9,1,100,,100
Pz,5343.468,0.56,5343.676,sp_unc,14.1806722689076,14.9004038130748,NaN,NaN,NaN,NaN,NaN,0,9,2,101,,101
Pz,5348.932,0.616,5349.32,sp_unc,14.0694874441004,14.8871855531632,NaN,NaN,NaN,NaN,NaN,1,9,3,102,,102
C3,5354.2,0.548,5354.332,sp_unc,14.0033341271731,15.1399184654009,NaN,NaN,NaN,NaN,NaN,1,9,4,103,,103
C3,5357.856,0.724,5358.016,sp_unc,12.362560665085,21.9441205062899,NaN,NaN,NaN,NaN,NaN,1,9,5,104,,104
Pz,5360.6,1.132,5361.536,sp_unc,14.2866357069143,13.5736074432555,NaN,NaN,NaN,NaN,NaN,0,9,6,105,,105
Fz,5364.716,1.076,5364.916,sp_c_down,12.534887167543,25.9526052787115,2.7921137362244,-0.004,5362.92,5366.92,5364.92,1,9,7,106,,106
C4,5366.384,0.56,5366.624,sp_c_up,12.4731968810916,12.8748580038467,2.36278005951688,1.704,5362.92,5366.92,5364.92,0,9,8,107,,107
Fz,5367.668,0.536,5368.016,sp_unc,13.4814493585863,25.7134054087737,NaN,NaN,NaN,NaN,NaN,0,9,9,108,,108
Cz,5448.224,0.492,5448.464,sp_unc,13.7039903680771,14.7872465915423,NaN,NaN,NaN,NaN,NaN,1,1,1,1,,1
Pz,5457.736,0.56,5457.94,sp_unc,12.7013449989709,9.72050493685176,NaN,NaN,NaN,NaN,NaN,0,3,1,2,,2
Cz,5458.568,0.616,5458.804,sp_c_up,11.5818769172602,18.8181664937725,-1.13699375793371,0.344,5456.46,5460.46,5458.46,1,3,2,3,,3
Pz,5460.8,0.916,5461.388,sp_unc,14.5143995098039,13.1295500405337,NaN,NaN,NaN,NaN,NaN,0,3,3,4,,4
Pz,5471.376,0.552,5471.764,sp_unc,14.3557422969188,12.9414049227853,NaN,NaN,NaN,NaN,NaN,0,4,1,5,,5
Pz,5473.992,0.94,5474.58,sp_unc,13.3167421673614,12.9996148321067,NaN,NaN,NaN,NaN,NaN,1,4,2,6,,6
Fz,5475.156,0.52,5475.516,sp_c_up,12.4243977712877,20.0606949784783,0.401852325585505,0.62,5472.896,5476.896,5474.896,0,4,3,7,,7
Pz,5480.144,0.804,5480.528,sp_unc,13.586519635765,12.2980894819318,NaN,NaN,NaN,NaN,NaN,0,4,4,8,,8
C4,5490.324,0.632,5490.516,sp_unc,13.5534338669014,12.0522733170808,NaN,NaN,NaN,NaN,NaN,0,1,1,9,,9
Pz,5503.52,0.584,5503.936,sp_unc,14.302043916982,11.2353444085472,NaN,NaN,NaN,NaN,NaN,0,2,1,10,,10
Pz,5507.42,0.632,5507.76,sp_unc,14.3837208677331,22.4314835574425,NaN,NaN,NaN,NaN,NaN,1,2,2,11,,11
Pz,5516.14,1.168,5516.28,sp_unc,14.201121874896,13.9103213661435,NaN,NaN,NaN,NaN,NaN,1,1,1,12,,12
Fz,5529.476,0.764,5529.768,sp_c_up,13.7426658105532,20.9647734707911,-2.58159389676592,0.088,5527.68,5531.68,5529.68,0,5,1,13,,13
Cz,5530.696,0.492,5530.864,sp_c_up,12.2619047619048,14.6391454598486,-1.89381147931298,1.184,5527.68,5531.68,5529.68,0,5,2,14,,14
C3,5532.976,0.964,5533.42,sp_unc,14.1532246413792,24.8005909805637,NaN,NaN,NaN,NaN,NaN,1,5,3,15,,15
Cz,5535.048,0.7,5535.468,sp_unc,12.9423048625351,14.1176732385417,NaN,NaN,NaN,NaN,NaN,0,5,4,16,,16
C4,5535.88,0.66,5536.04,sp_unc,12.9819595360045,14.8140625752851,NaN,NaN,NaN,NaN,NaN,1,5,5,17,,17
Pz,5546.624,1.196,5547.008,sp_unc,14.1299221168731,12.4932753284978,NaN,NaN,NaN,NaN,NaN,0,1,1,18,,18
C3,5555.608,0.804,5555.74,sp_unc,12.7766407647897,16.6282345893283,NaN,NaN,NaN,NaN,NaN,0,2,1,19,,19
Pz,5556.848,1.192,5557.176,sp_unc,14.2084684751093,21.5210160294387,NaN,NaN,NaN,NaN,NaN,0,2,2,20,,20
C3,5563.26,2.696,5565.852,sp_unc,14.8877942623736,18.9933030784514,NaN,NaN,NaN,NaN,NaN,0,1,1,21,,21
Pz,5587.056,0.492,5587.228,sp_unc,14.3045522302488,13.1531303480174,NaN,NaN,NaN,NaN,NaN,1,1,1,22,,22
Cz,5597.828,0.644,5597.996,sp_unc,12.2487631416203,13.1394667861814,NaN,NaN,NaN,NaN,NaN,1,4,1,23,,23
Pz,5599.16,0.684,5599.264,sp_unc,14.5200282842182,14.0170744681839,NaN,NaN,NaN,NaN,NaN,1,4,2,24,,24
Pz,5601.968,0.724,5602.5,sp_unc,14.6319342603154,18.5467820189442,NaN,NaN,NaN,NaN,NaN,0,4,3,25,,25
Cz,5603.96,0.528,5604.124,sp_unc,12.5875121688519,12.8931040228588,NaN,NaN,NaN,NaN,NaN,0,4,4,26,,26
Fz,5614.156,0.724,5614.604,sp_unc,13.4271788507128,15.3497586960159,NaN,NaN,NaN,NaN,NaN,1,1,1,27,,27
Fz,5641.256,0.864,5641.408,sp_unc,13.5692361740018,14.3808816049879,NaN,NaN,NaN,NaN,NaN,0,3,1,28,,28
C3,5642.924,0.68,5643.052,sp_unc,14.7133440579534,11.3828358936481,NaN,NaN,NaN,NaN,NaN,0,3,2,29,,29
C4,5648.876,0.6,5649.22,sp_unc,14.1720569199873,18.0397027705611,NaN,NaN,NaN,NaN,NaN,0,3,3,30,,30
C4,5661.848,0.528,5662.244,sp_unc,13.370283992697,13.4146037693149,NaN,NaN,NaN,NaN,NaN,1,2,1,31,,31
C3,5663.012,0.552,5663.196,sp_unc,13.7872017902978,15.9230814932537,NaN,NaN,NaN,NaN,NaN,0,2,2,32,,32
Pz,5671.028,1.1,5671.188,sp_unc,12.2272562169587,11.7140379466188,NaN,NaN,NaN,NaN,NaN,0,3,1,33,,33
